"Time","Processes"
2023-04-03 19:32:20,3779.8
2023-04-03 19:32:40,1360.8
2023-04-03 19:33:00,2080.8
2023-04-03 19:33:20,3992
2023-04-03 19:33:40,4101.4
2023-04-03 19:34:00,1216.6
2023-04-03 19:34:20,2290.8
2023-04-03 19:34:40,4138
2023-04-03 19:35:00,4116.8
2023-04-03 19:35:20,2239.6
2023-04-03 19:35:40,2107.6
2023-04-03 19:36:00,3650.2
2023-04-03 19:36:20,4129.4
2023-04-03 19:36:40,3528
2023-04-03 19:37:00,1415.8
2023-04-03 19:37:20,1959.2
2023-04-03 19:37:40,1832
2023-04-03 19:38:00,2148.8
2023-04-03 19:38:20,3696.6
2023-04-03 19:38:40,4161.8
2023-04-03 19:39:00,1222.8
2023-04-03 19:39:20,1852.8
2023-04-03 19:39:40,2091.6
2023-04-03 19:40:00,1219.4
2023-04-03 19:40:20,2598
2023-04-03 19:40:40,4110.6
2023-04-03 19:41:00,4138.8
2023-04-03 19:41:20,1298.6
2023-04-03 19:41:40,2151.8
2023-04-03 19:42:00,2248.2
2023-04-03 19:42:20,1225.8
2023-04-03 19:42:40,2900.6
2023-04-03 19:43:00,4002.4
2023-04-03 19:43:20,4102.8
2023-04-03 19:43:40,1608.2
2023-04-03 19:44:00,2579
2023-04-03 19:44:20,2569.2
2023-04-03 19:44:40,1575.4
2023-04-03 19:45:00,3323.4
2023-04-03 19:45:20,4217.2
2023-04-03 19:45:40,3311
2023-04-03 19:46:00,1705.2
2023-04-03 19:46:20,2673.8
2023-04-03 19:46:40,2754.2
2023-04-03 19:47:00,1303.4
2023-04-03 19:47:20,3045.6
2023-04-03 19:47:40,4254
2023-04-03 19:48:00,4159.8
2023-04-03 19:48:20,1396
2023-04-03 19:48:40,2782.8
2023-04-03 19:49:00,3112.4
2023-04-03 19:49:20,2427.8
2023-04-03 19:49:40,1934
2023-04-03 19:50:00,3561.4
2023-04-03 19:50:20,4173.8
2023-04-03 19:50:40,3889.6
2023-04-03 19:51:00,1512.2
2023-04-03 19:51:20,2277.2
2023-04-03 19:51:40,2047.4
2023-04-03 19:52:00,2343.2
2023-04-03 19:52:20,3643.4
2023-04-03 19:52:40,4126.2
2023-04-03 19:53:00,1231
2023-04-03 19:53:20,2042.8
2023-04-03 19:53:40,2447.6
2023-04-03 19:54:00,1229.2
2023-04-03 19:54:20,2745.6
2023-04-03 19:54:40,4231.4
2023-04-03 19:55:00,4116.8
2023-04-03 19:55:20,1360
2023-04-03 19:55:40,2670.8
2023-04-03 19:56:00,2929.6
2023-04-03 19:56:20,1223.8
2023-04-03 19:56:40,2457.6
2023-04-03 19:57:00,4083.4
2023-04-03 19:57:20,4104.4
2023-04-03 19:57:40,1225.4
2023-04-03 19:58:00,2209.6
2023-04-03 19:58:20,3351
2023-04-03 19:58:40,3145.4
2023-04-03 19:59:00,1939
2023-04-03 19:59:20,3631.4
2023-04-03 19:59:40,4129.6
2023-04-03 20:00:00,1784.2
2023-04-03 20:00:20,2134
2023-04-03 20:00:40,3350
2023-04-03 20:01:00,3775.2
2023-04-03 20:01:20,1606.2
2023-04-03 20:01:40,2014.2
2023-04-03 20:02:00,3981.2
2023-04-03 20:02:20,4117.2
2023-04-03 20:02:40,1391.4
2023-04-03 20:03:00,2152
2023-04-03 20:03:20,3883.2
